GENE	GTEx_bladder	GTEx_prostate	GTEx_thyroid
13965	RP11-102N12.2	0	0	0
13966	Y_RNA	0	0	0
13967	RNF150	0.4157	0.4452	1.6456
13968	ZNF330	12.4194	10.3522	27.2643
13969	RP11-586L23.1	0	0	0
13970	snoU13	0	0	0
13971	RP11-362F19.1	0.0943	0.0217	0.5217
13972	RP11-362F19.2	0	0	0.0341
13973	RP11-208N20.1	0	0.1471	0
13974	IL15	1.2029	0.4159	4.0433
13975	INPP4B	2.3171	1.1919	1.3353
13976	RPL5P13	0	0	0
13977	LSM3P4	0	0	0
13978	RP11-223C24.2	0	0	0
13979	RP11-223C24.1	0.2569	0.059	0
13980	RP11-284M14.1	0.2319	0.3197	0.2837
13981	RP11-54P19.1	0	0	0
13982	USP38	4.1984	3.0316	4.1438
13983	RP11-364L4.3	0	0	0
13984	Y_RNA	0	0	0
13985	AC097658.1	0.4039	0.0318	0.0565
13986	GAB1	5.1813	1.969	1.8197
13987	MIR3139	0	0	0
13988	RP11-364L4.1	1.0482	0.5779	4.8365
13989	RP11-58H15.1	0.1401	0.4185	0.0327
13990	RP11-58H15.3	0	0	0
13991	SMARCA5	16.1151	8.0856	17.4756
13992	SMARCA5-AS1	4.1141	0.9881	4.4452
13993	RP11-481K16.2	1.9362	0.8087	3.2816
13994	GUSBP5	0.3126	0.1364	0.102
13995	FREM3	0.0086	0.0621	0
13996	RP13-578N3.3	0	0.0359	0
13997	RP11-780M14.1	0	0	0.0176
13998	GYPE	0.147	0.0203	0.3185
13999	RP11-673E1.3	0.9818	0.639	0.4195
14000	RP11-673E1.1	0.1533	0.1796	0.075
14001	RP11-673E1.4	0	0.0244	0
14002	GYPB	0	0	0
14003	GYPA	0	0	0
14004	RP11-361D14.2	0	0	0
14005	KRT18P51	0	0	0
14006	HHIP-AS1	3.9725	1.5644	0.5026
14007	HHIP	5.0544	0.5639	0.0227
14008	HSPD1P5	0	0	0
14009	RP13-539F13.3	0	0	0
14010	RP13-539F13.2	0	0	0
14011	ANAPC10	3.5791	2.5593	3.0008
14012	RN7SKP235	0	0.0666	0.0675
14013	ABCE1	12.8207	4.2892	8.8546
14014	OTUD4	10.1492	4.5012	8.9568
14015	Y_RNA	0	0	0
14016	RPS23P4	0	0	0
14017	RTN3P1	0.0829	0	0.4924
14018	RP11-301H24.2	0	0	0
14019	SMAD1	5.8939	1.7009	3.4679
14020	RP11-301H24.3	0	0	0.0378
14021	RP11-301H24.4	6.552	2.0256	3.6817
14022	RP11-557J10.5	0	0	0
14023	MMAA	1.3918	1.0913	1.1828
14024	RP11-557J10.3	0.0942	0.0216	0
14025	RP11-557J10.4	0.514	0.1362	0.2488
14026	C4orf51	0	0	0
14027	ZNF827	7.4076	21.171	9.1137
14028	RP11-181K12.2	0	0.4346	0.0519
14029	Y_RNA	0	0	0
14030	RP11-203B7.2	0	0.0586	0
14031	RP11-203B7.1	0	0.0389	0
14032	RP11-6L6.3	0	0.7195	0
14033	AC097372.1	0	0	0
14034	LSM6	4.754	4.3325	2.7163
14035	RP11-6L6.2	0	1.7895	0
14036	RP11-6L6.7	0	0	0
14037	SLC10A7	2.5652	1.5435	1.981
14038	RNU1-44P	0	0	0
14039	POU4F2	0	0	0
14040	AC093887.1	0	0	0
14041	TTC29	0	0.0122	0
14042	RP11-292D4.2	0	0	0
14043	RP11-292D4.1	0	0	0
14044	RP11-292D4.3	0	0	0
14045	MIR548G	0	0	0
14046	RP11-364M6.1	0	0	0
14047	RP11-752L20.1	0	0	0
14048	EDNRA	4.6842	3.1995	3.6684
14049	GTF2F2P1	0	0.0601	0.122
14050	RP11-752L20.5	0.0573	0.0197	0.0801
14051	RP11-425A23.1	0	0.0357	0
14052	TMEM184C	9.2431	7.2322	15.2028
14053	PRMT10	4.8421	3.2853	9.7006
14054	ARHGAP10	18.0125	3.7923	9.8531
14055	RNA5SP165	0	0	0
14056	MIR4799	0	0	0
14057	RN7SL254P	0	0	0
14058	RP11-315D13.1	0	0	0.096
14059	NR3C2	3.972	0.8702	7.6933
14060	RP11-76G10.1	0	0	0.0303
14061	RP11-655B23.1	0	0	0
14062	RNA5SP166	0	0	0
14063	RP11-503L19.1	0	0	0
14064	ATP5LP4	0	0	0
14065	CTB-191D16.1	0	0	0
14066	RNU7-197P	0	0	0
14067	RP11-563M4.1	0.0612	0	0.2141
14068	RP11-342A1.1	0	0	0
14069	RP11-24I21.1	0	0	0.0082
14070	RP11-526A4.1	0.0232	0	0
14071	RP11-707F2.1	0	0	0
14072	RP11-707F2.2	0	0	0
14073	RNA5SP167	0	0	0
14074	RNU6-1230P	0	0	0
14075	RP11-423J7.1	0	0	0
14076	DCLK2	2.0713	1.8208	5.6714
14077	RNU7-194P	0	0	0
14078	LRBA	8.8909	13.8534	8.1749
14079	RP11-174F8.1	0.059	0.0814	0
14080	RP11-1336O20.2	0.0133	0.0184	0.028
14081	MAB21L2	0	0.3668	1.7861
14082	AC110813.1	0	0	0
14083	ZBTB8OSP1	0.1183	0.0408	0
14084	RNA5SP168	0	0	0
14085	AK4P6	0	0	0
14086	RPS3A	285.4272	296.771	172.5934
14087	SNORD73	0	0	0
14088	SNORD73A	0	0	0.6336
14089	SH3D19	13.3578	4.0235	17.5687
14090	RP11-372K14.2	0.5557	0.766	0.37
14091	RP11-731D1.1	0	0	0.0424
14092	PRSS48	0	0	0
14093	RP11-731D1.3	0	0	0
14094	RNU6-1282P	0	0	0
14095	RP11-731D1.4	0	0.1879	1.7541
14096	RP11-610P16.1	0.8227	0.2268	0.9203
14097	FAM160A1	2.4485	0.6997	2.4717
14098	AC097455.1	0	0	0
14099	RN7SKP35	0	0	0
14100	RP11-164P12.4	2.4222	1.9364	4.3351
14101	PET112	4.9996	3.5707	3.0397
14102	RP11-164P12.3	0.9071	0.6489	0.7867
14103	RP11-424M21.1	0	0	0
14104	RP11-503L23.1	0	0	0
14105	RP11-73G16.3	0	0	0
14106	RP11-73G16.2	0	0	0
14107	RP11-73G16.1	0	0	0
14108	RNA5SP169	0	0	0
14109	RP11-18H21.1	0.0293	0.0202	0.0205
14110	RP11-18H21.2	0.0534	0	0
14111	RP11-18H21.3	0.0374	0.0516	0
14112	AC079340.1	0	0	0
14113	RN7SL446P	0	0	0
14114	RP11-461L13.4	0	0.099	0
14115	RP11-461L13.5	0	0	0.1779
14116	RP11-461L13.3	0	0	0.3288
14117	FBXW7	4.6263	3.284	6.4719
14118	RP11-461L13.2	0.5542	0.2183	1.0517
14119	MIR3140	0	0	0
14120	MIR4453	3.1613	3.9582	5.2097
14121	RP11-555K12.1	0.7581	0	0.159
14122	RP11-555K12.2	0	0	0
14123	TMEM154	5.8997	0.7366	0.1443
14124	RP11-768B22.2	0.0745	0	0.0087
14125	TIGD4	0.3336	0.115	0.6581
14126	ARFIP1	15.8064	14.1505	9.4494
14127	RP11-529H22.1	0	0	0
14128	AC099339.1	0	0	0.1806
14129	RP11-206F17.2	1.0823	1.252	1.4593
14130	FHDC1	1.8674	13.2358	5.2409
14131	RP11-285C1.2	0	0	0
14132	TRIM2	16.0292	7.3142	15.0886
14133	RNU6-1196P	0	0	0
14134	Y_RNA	0	0	0
14135	ANXA2P1	0.3181	0.2411	0.3336
14136	MND1	0.3893	0.1073	1.048
14137	AC013477.1	0	0	0
14138	RN7SL419P	0	0	0
14139	KIAA0922	3.0861	4.5894	3.0231
14140	RP11-153M7.3	0	0	0.088
14141	RP11-153M7.1	0.0544	0	0
14142	TLR2	5.6242	1.9622	2.878
14143	RNF175	0.2981	0.2788	0.0794
14144	RP11-153M7.5	0	0	0
14145	SFRP2	9.552	4.0457	0.1419
14146	AC020703.1	0	0	0
14147	AC079298.1	0	0	0
14148	DCHS2	0.0805	0.0408	0.0629
14149	RP11-290O12.1	0	0	0
14150	RP11-158C21.2	0	0	0
14151	PLRG1	13.1299	9.6646	14.4895
14152	RNU6-1285P	0.2805	0	0.1961
14153	RP11-158C21.3	0	0	0
14154	FGB	0.1454	0.2205	0
14155	FGA	0.0596	0.2104	0
14156	FGG	0	0.3652	0.0185
14157	LRAT	0.233	0.4708	1.1043
14158	RP11-21G20.1	0	0	0
14159	RP11-21G20.3	0	0	0
14160	RP11-21G20.4	0	0	0
14161	RBM46	0.0146	0	0.3682
14162	RNU2-66P	0	0	0
14163	RNU2-44P	0	0	0
14164	RP11-92A5.2	0	0.1988	0
14165	NPY2R	0.0649	0.0671	0.0227
14166	RP11-27G13.1	0	0	0
14167	AC097467.2	0.2784	0.3107	0.4403
14168	MAP9	2.1591	2.8083	3.4749
14169	RP11-27G13.4	0	0	0
14170	RP11-27G13.5	0	0	0
14171	RP11-627H22.9	0	0	0
14172	MTND6P17	0	0	0
14173	MTND5P9	0	0	0
14174	MTND4P8	0	0	0
14175	MTND3P3	0	0	0
14176	RP11-627H22.8	0	0	0
14177	MTATP6P9	0	0	0
14178	RP11-627H22.6	0	0	0
14179	RP11-627H22.5	0	0	0
14180	MTND2P33	0	0	0
14181	MTND1P22	0	0	0
14182	RP13-487K5.1	0	0	0
14183	GUCY1A3	1.1079	13.1278	3.4673
14184	RP11-588K22.2	1.667	12.4198	5.1893
14185	GUCY1B3	3.0529	2.2566	8.1118
14186	ASIC5	0.0174	0	0
14187	TDO2	0	0.164	0.1059
14188	CTSO	15.9132	8.0809	17.4619
14189	FTH1P21	0	0	0
14190	AC108211.1	0	0	0
14191	RP11-171N4.1	0	0	0
14192	RP11-171N4.2	0	0	0
14193	RP11-171N4.3	0	0	0
14194	RP11-171N4.4	0	0	0
14195	PDGFC	4.4025	2.3554	5.0108
14196	RP11-154F14.2	0	0	0
14197	RP11-612J15.3	0	0	0
14198	RPPH1-3P	0	0	0
14199	Y_RNA	0	0	0
14200	GLRB	0.1756	0.4598	0.3437
14201	RNU6-582P	0	0	0
14202	GRIA2	0.0372	0.2223	0.0116
14203	RP11-392C20.1	0	0	0
14204	AC079233.1	0	0	0
14205	RP11-364P22.1	0	0	0
14206	AC093817.1	0	0	0
14207	RP11-364P22.2	0	0	0
14208	Y_RNA	0	0	0
14209	RP11-312A15.1	0	0	0
14210	RP11-312A15.3	0	0	0.0463
14211	FAM198B	6.4812	2.6687	4.0217
14212	RP11-597D13.9	3.6537	1.2351	0.9343
14213	NUDT19P5	0.1035	0.107	0.1448
14214	TMEM144	2.7193	1.271	3.4566
14215	RP11-597D13.7	0.3258	0.5108	0.8827
14216	RXFP1	0.1042	0.3016	0.0437
14217	RNU4-79P	0	0	0
14218	RP11-781M16.1	0	0	0
14219	RP11-781M16.2	0	0	0
14220	C4orf46	1.6967	1.1036	3.1254
14221	ETFDH	8.5593	4.6302	10.4189
14222	U3	2.2968	0.0931	0.7557
14223	PPID	9.1859	8.5973	11.3266
14224	FNIP2	4.6205	2.4714	3.8275
14225	RNU6-128P	0	0	0
14226	C4orf45	0.0819	0	0
14227	AC093700.1	0	0	0
14228	RP11-815N9.2	0	0	0
14229	FABP5P12	0	0	0
14230	Y_RNA	0	0	0
14231	RAPGEF2	9.9984	3.7947	13.8485
14232	AC095064.1	0	0	0
14233	MIR3688-2	0	0	0
14234	AC105316.1	0	0	0
14235	RP11-138A23.1	0	0	0
14236	RP11-138A23.2	0	0	0
14237	U3	0	0	0
14238	RP11-6C14.1	0	0	0
14239	RP11-502M1.1	0	0	0
14240	RP11-502M1.2	0	0	0
14241	RPS14P7	0	0	0
14242	AC106860.1	0	0	0
14243	RP11-234O6.2	0	0	0
14244	FSTL5	0.044	0	0
14245	RP11-497K21.1	0	0	0
14246	MTHFD2P4	0	0	0
14247	TOMM22P4	0	0	0
14248	AC005150.1	0	0	0
14249	RP11-580J4.1	0	0.0653	0
14250	RP11-563E2.2	0.2274	0	0.1855
14251	NAF1	4.279	2.0595	3.0729
14252	RP11-719L21.1	0	0	0
14253	NPY1R	0.6452	0.378	0.936
14254	NPY5R	0.1247	0.0645	0.0763
14255	RPL35AP12	0	0	0
14256	TKTL2	0	0	0
14257	TMA16	6.1919	4.6806	4.4655
14258	AC093788.1	0.31	0	0
14259	MARCH1	2.5268	1.3461	0.9366
14260	RN7SKP105	0	0	0
14261	RP11-606P2.1	0	0	0
14262	RP11-39C10.1	0	0	0.02
14263	ANP32C	0	0	0
14264	RP11-75A5.1	0	0	0
14265	RNU6-284P	0	0	0
14266	RP11-294O2.1	0	0	0
14267	RP11-294O2.2	1.8558	0.9099	0
14268	RNU6-668P	0	0	0
14269	RP11-366M4.3	0.0191	5.0664	0
14270	TRIM60P14	0.0415	0	0.0871
14271	RP11-366M4.2	0	0	0
14272	FAM218BP	0	0	0
14273	RP11-366M4.18	0	0	0
14274	RP11-366M4.6	0	0	0
14275	NACA3P	0.1818	0.0626	0
14276	RP11-366M4.8	0	0	0
14277	TRIM61	0.5958	0.0257	1.4318
14278	FAM218A	0.4064	2.8104	2.8131
14279	RP11-366M4.11	0.8528	0.043	2.8939
14280	RP11-366M4.12	0.1126	0	0.0787
14281	RP11-366M4.13	0	0	0
14282	RP11-366M4.14	0	0.0291	0
14283	RP11-366M4.1	21.5991	16.1543	12.9986
14284	RP11-366M4.15	0	0	0
14285	TRIM60	0	0	0
14286	RP11-366M4.17	0	0	0
14287	RP11-219C20.1	0	0	0
14288	TMEM192	5.2351	5.7522	5.3217
14289	KLHL2	10.4745	6.0917	8.5994
14290	RNU4-87P	0	0	0
14291	GK3P	0.2243	0.1546	0.1845
14292	MSMO1	9.2984	32.1815	7.8608
14293	CPE	17.5545	118.5113	71.6189
14294	MIR578	0	0	0
14295	HADHAP1	0	8.4429	0.018
14296	SCGB1D5P	0	0	0
14297	RP11-443J23.1	0	0.0115	0
14298	RP11-511B7.1	0	0	0
14299	RP11-340B18.1	0	0	0
14300	TLL1	0.6343	0.591	0.3258
14301	RNA5SP170	0	0	0
14302	AC093874.1	0	0	0
14303	Y_RNA	0	0	0
14304	RP11-217C7.1	0	0	0
14305	SPOCK3	0.7036	10.1833	0.0184
14306	RNA5SP171	0	0	0
14307	RP11-436A7.1	0	0	0
14308	RN7SL776P	0	0	0
14309	PHBP14	0	0	0
14310	RN7SKP188	0	0	0
14311	RP11-521F1.1	0	0	0
14312	RP11-310I9.1	0	0	0
14313	ANXA10	5.1549	0	0
14314	DDX60	3.7489	1.4535	19.111
14315	snoU13	0	0	0
14316	DDX60L	2.2438	1.2647	5.8278
14317	SNORA51	0	0	0.3144
14318	PALLD	33.4642	9.2232	18.0938
14319	BTF3L4P4	0	0	0
14320	RP11-610J23.1	0	0	0
14321	RNU6-1336P	0	0	0
14322	RPL9P16	0	0	0.2179
14323	RP11-635L1.3	0	0	0.0746
14324	CBR4	8.8708	7.3197	10.6521
14325	RNU6-853P	0	0.1897	0
14326	RNY4P17	0	0	0
14327	RP11-483A20.3	0	0	0
14328	SH3RF1	7.8556	12.1163	6.3233
14329	RPL6P12	0.0348	0	0
14330	RP11-327O17.2	0	0	0
14331	NEK1	3.9833	3.1259	3.371
14332	CLCN3	19.2782	12.2743	7.2967
14333	C4orf27	10.3925	7.9544	11.0493
14334	AC106878.1	0	0	0
14335	PTGES3P3	0	0	0.1705
14336	RP11-205M3.1	0	0	0
14337	RP11-205M3.3	0	0	0
14338	RP11-6E9.5	0	0	0
14339	RP11-6E9.4	1.0101	0.0366	0.2974
14340	MFAP3L	8.6328	0.7547	0.6361
14341	AADAT	5.2628	15.102	3.536
14342	APOBEC3AP1	0	0	0
14343	RP11-654F3.1	0	0	0
14344	RP11-789C1.1	6.28	0.8656	0
14345	RP11-789C1.2	1.0985	0.4258	0
14346	RP11-796L2.1	0	0	0
14347	HSP90AA6P	0	0	0
14348	RP11-322J23.1	0	0	0
14349	RP11-213L8.1	0	0	0
14350	RNU6ATAC13P	0	0	0
14351	RP11-344G13.1	0	0	0
14352	RP11-344G13.2	0	0	0
14353	RP11-384D10.1	0	0	0
14354	RP11-717H13.1	0	0	0
14355	RP11-97E7.1	0	0	0
14356	RP11-97E7.2	0	0	0
14357	GALNTL6	0.1466	4.3514	0.0423
14358	RP11-485C11.1	0	0	0
14359	RP11-10K16.1	0.6911	0.6752	0.4587
14360	RN7SL253P	0	0	0
14361	GALNT7	13.815	21.3231	11.315
14362	MIR548T	0	0	0
14363	RP11-798M19.3	13.2286	18.6233	11.1852
14364	HMGB2	27.6195	14.9654	13.4235
14365	SAP30	7.3187	5.3514	5.1168
14366	SCRG1	0.2569	0.2916	0.0528
14367	RPL5P11	0	0.0455	0.0922
14368	RNU6-1096P	0	0	0
14369	RP11-489G11.3	0.0533	0.0368	0.0093
14370	HAND2	15.4178	0.7666	0.0801
14371	HAND2-AS1	4.2312	0.1673	0.0356
14372	RP11-475B2.1	0.2662	0.0459	0
14373	MORF4	0.1213	0	0.0848
14374	RANP6	0	0	0
14375	RP11-161D15.2	0	0	0
14376	RP11-161D15.1	0	0	0
14377	RP11-161D15.3	0.0887	0.0204	0
14378	RP11-148L24.1	0.3196	0.0856	0
14379	RP11-248N22.1	0.2575	0	0
14380	RP11-248N22.2	0	0	0
14381	FBXO8	13.0318	8.6801	13.0924
14382	CEP44	5.0738	4.0372	3.4624
14383	RP11-51M24.1	0	0	0
14384	MIR4276	0	0	0
14385	HPGD	74.8729	2.6848	0.0248
14386	RP11-440I14.2	1.0857	0.2494	0
14387	RP11-440I14.3	1.8237	0	0
14388	RP11-440I14.4	1.2422	0.0571	0
14389	GLRA3	0	0.0085	0
14390	ADAM29	0.01	0	0
14391	RP13-577H12.3	0	0	0
14392	AC105914.1	0	0	0
14393	RP13-577H12.2	0	0	0
14394	RP11-391J13.1	0	0	0
14395	RP11-287F9.1	0	0	0
14396	RP11-287F9.2	0	0	0
14397	RP11-598D14.1	0	0	0
14398	AC131094.1	0	0	0
14399	TSEN2P1	0	0	0
14400	ADAM20P2	0	0	0
14401	GPM6A	0.529	0.1326	2.2562
14402	RP11-806K15.1	0	0	0.034
14403	RP11-598O12.1	0	0	0
14404	MARK2P4	0	0	0
14405	AC110794.1	0	0	0
14406	WDR17	0.3562	0.2037	0.9775
14407	SNORA51	0	0	0
14408	SPATA4	0	0.0165	0.2507
14409	ASB5	0.2174	0.0899	0.0253
14410	RP11-87F15.2	0.5311	0.0333	0.5739
14411	SPCS3	23.6206	17.0904	18.7598
14412	RP11-313E19.1	0	0	0
14413	RP11-313E19.2	0	0	0.3226
14414	VEGFC	6.1751	3.5185	26.3793
14415	RP11-624A4.1	0	0	0
14416	RP11-765K14.1	0	0	0
14417	RN7SKP136	0	0	0
14418	RP11-487E13.1	0	0	0
14419	NEIL3	0.1095	0.0274	0
14420	RP11-376O6.2	0	0	0
14421	AGA	8.1916	5.1541	8.5612
14422	RP11-130F10.1	0.1908	0.0282	2.0868
14423	RNA5SP172	0	0	0
14424	AC078881.1	0	0	0
14425	RP11-140M13.1	0	0	0.1615
14426	RP11-389E17.1	0	0	0.0199
14427	RP11-162G9.1	0	0	0
14428	snoU13	0	0	0
14429	RNU1-45P	0	0	0
14430	RP11-84H6.1	0	0	0
14431	RNA5SP173	0	0	0
14432	SNORD65	0	0	0
14433	RP11-296L20.1	0	0	0
14434	RP11-404J23.1	0	0	0
14435	RP11-774G5.1	0	0	0
14436	RP11-751A18.1	0	0	0
14437	RP11-460H9.1	0	0	0
14438	LINC00290	0	0	0
14439	RP11-665C14.1	0	0	0
14440	RP11-665C14.2	0	0	0
14441	RP11-433O3.1	0	0	0
14442	RP11-540E16.2	0	0	0
14443	RN7SKP13	0	0	0
14444	AC108142.1	0.056	0	0.4075
14445	RP11-540E16.1	0	0	0
14446	TENM3	0.4538	0.3145	0.4846
14447	MIR1305	0	0	0
14448	RP11-402C9.1	0	0	0
14449	RNU2-34P	0	0	0
14450	RN7SKP67	0	0	0
14451	RP11-18D7.3	0	0	0
14452	RP11-18D7.2	0	0.0457	0.2319
14453	AC114798.1	0	0	0
14454	DCTD	22.1792	15.9706	30.2758
14455	RP11-335L23.2	0	0	0
14456	FAM92A1P2	0	0	0
14457	WWC2-AS2	0.4048	0.2976	0.4905
14458	WWC2	4.0055	1.8861	6.4878
14459	RNU7-158P	0	0	0
14460	U3	0.1722	0.2374	0
14461	WWC2-AS1	0	0	0.2039
14462	snoU13	0	0	0
14463	CLDN24	0	0.0612	0
14464	snoU13	0	0	0
14465	RP11-451F20.1	0	0	0
14466	AC093844.1	0	0	0
14467	RP11-692E14.1	0	0	0
14468	CDKN2AIP	11.6411	5.2511	8.1065
14469	VTI1BP2	0	0.0875	0.2367
14470	RP11-367N14.2	0.0527	0.4721	0.1473
14471	ING2	7.0845	5.1102	7.0902
14472	snoU13	0	0	0
14473	RWDD4	4.1273	4.8699	5.7785
14474	RNU6-479P	0	0	0
14475	TRAPPC11	11.8824	9.2972	11.0496
14476	RNU6-335P	0	0	0
14477	RNU6-1053P	0.2916	0	0.4078
14478	STOX2	3.1573	1.4623	3.0459
14479	RP11-739P1.2	0.1894	0.0326	0.1986
14480	RP11-616K6.1	0.0925	0.0956	0
14481	ENPP6	0.4579	0.4564	0.0099
14482	RP11-162O12.1	0	0	0
14483	AC079080.1	0	0	0
14484	RN7SL28P	0	0.1372	0
14485	RP11-162O12.2	0.6243	0.3911	0.0794
14486	RP11-290F5.2	1.0014	0.1553	0.1225
14487	RP11-290F5.1	0.5342	0.1294	0.0908
14488	IRF2	24.5476	9.3806	9.6219
14489	SNORD79	0	0	0
14490	RP11-326I11.5	2.4044	3.8171	0.7804
14491	RP11-326I11.3	2.2711	4.4279	2.1966
14492	RP11-326I11.4	0.1882	0.0973	0.0658
14493	RP11-326I11.1	0	0	0
14494	RP11-242J7.1	0	0	0
14495	CASP3	16.1948	7.9822	6.3573
14496	CCDC111	6.3745	2.5268	3.744
14497	MLF1IP	1.7622	1.2392	0.3394
14498	ACSL1	18.4069	48.2885	26.0241
14499	RP11-701P16.1	0.353	2.784	0.1097
14500	RP11-701P16.2	0.1432	0.0987	0
14501	RP11-701P16.5	0	0	0
14502	MIR3945	0	0	0
14503	RP11-701P16.4	0	0.3575	0
14504	RP11-701P16.3	0	0	0
14505	MIR4455	0	0	0
14506	RP11-386B13.4	0	0.0446	0
14507	HELT	0	0.0368	0
14508	RP11-386B13.3	0	0	0
14509	RP11-386B13.1	0	0	0
14510	AC093824.1	0	0	0
14511	SLC25A4	15.5086	29.755	37.3699
14512	KIAA1430	6.9976	4.7902	8.5465
14513	SNX25	6.5157	4.1763	9.7366
14514	LRP2BP	0.7893	2.862	2.6455
14515	RP11-714G18.1	0.5519	1.7636	1.0875
14516	ANKRD37	4.9089	5.0746	3.0076
14517	UFSP2	15.6916	9.4097	18.9652
14518	Y_RNA	0	0	0.5419
14519	C4orf47	0.2999	0.6496	3.9387
14520	CCDC110	0.2944	0.3381	2.27
14521	RP11-279O9.4	0.3953	0.4087	2.073
14522	PDLIM3	21.539	3.7776	41.0636
14523	SORBS2	4.5554	4.1525	26.4275
14524	RP11-301L8.2	1.2842	0.6808	8.2644
14525	RP11-626E13.1	0.0953	0.0657	0.4665
14526	Y_RNA	0	0	0
14527	RP11-45I20.1	0	0	0
14528	snoU13	0	0	0
14529	RNU4-64P	0	0	0
14530	TLR3	5.5781	1.6095	1.9593
14531	FAM149A	3.4027	3.4381	0.7782
14532	SNORA31	0.2182	0	0
14533	RP11-173M11.2	0.9545	4.5813	0.4052
14534	ORAOV1P1	1.6404	1.85	0
14535	AC110771.1	0.1238	0.597	0.6633
14536	CYP4V2	6.0593	4.77	16.8615
14537	KLKB1	0.3255	1.3458	2.446
14538	F11	0.0145	0.06	0
14539	RP11-215A19.1	0	2.0957	0
14540	SLC25A5P6	0	0	0
14541	RP11-215A19.2	0	3.5972	0
14542	RNU6-1055P	0	0	0
14543	MTNR1A	0	0.3147	0
14544	FAT1	14.3873	8.466	3.9535
14545	AC108865.1	0	0	0
14546	RP11-11N5.1	0.2375	0.0818	0
14547	RP11-11N5.3	0	0.141	0
14548	MRPS36P2	0	0	0
14549	RP11-217E13.1	0.0621	0.0856	0
14550	RP11-696F12.1	0.1399	0.0482	0
14551	RP11-308K2.1	0	0	0
14552	RP11-138B4.1	0	0.0192	0
14553	RP11-91J3.2	0	0	0
14554	RP11-91J3.3	0	0.2272	0
14555	RP11-91J3.1	0	0	0
14556	RP11-237D3.1	0	0	0
14557	RP11-565A3.2	0	0	0
14558	RP11-565A3.1	0	0	0
14559	ADAM20P3	0	0	0
14560	RP11-713C19.2	0	0	0
14561	ZFP42	0	0	0
14562	TRIML2	0	0	0
14563	RP11-713C19.1	0	0	0
14564	RNU6-173P	0	0	0
14565	TRIML1	0	0	0
14566	RP11-366H4.3	0	0	0
14567	RP11-366H4.1	0	0	0
14568	RP11-219G10.1	0	0.0313	0.0952
14569	NARG2P1	0	0	0
14570	RP11-219G10.3	0	0	0
14571	RP11-756P10.1	0	0	0
14572	RNU7-192P	0	0	0
14573	RP11-756P10.3	1.34	1.0123	2.0898
14574	RP11-756P10.4	0	0	0
14575	RP11-756P10.5	0	0	0
14576	RP11-756P10.2	0	0	0
14577	RP11-818C3.1	0	0	0
14578	RP11-706F1.1	0	0	0
14579	RP11-706F1.2	0.0869	0	0
14580	HSP90AA4P	0	0	0
14581	RP11-462G22.1	0	0	0
14582	RNU1-51P	0	0	0
14583	AF146191.4	0.2301	0.1498	0.0357
14584	AF250324.1	0	0	0
14585	RP11-463J17.1	0	0	0
14586	FRG1	13.424	7.7175	12.5578
14587	MLLT10P2	0	0	0
14588	AF146191.8	0	0	0
14589	TUBB7P	0.0903	0	0.0473
14590	RNA5SP174	0	0	0
14591	RNA5SP175	0	0	0
14592	DUX4L9	0	0	0
14593	FRG2	0	0	0
14594	RARRES2P4	0	0	0
14595	AGGF1P1	0.0568	0.1763	0.8046
14596	CLUHP4	0	0	0
14597	U85056.3	0	0	0
14598	DUX4L8	0	0	0
14599	DUX4L7	0	0	0
14600	DUX4L6	0	0	0
14601	DUX4L5	0	0	0
14602	DUX4L4	0	0	0
14603	DUX4	0	0	0
14604	DUX4L3	0	0	0
14605	DUX4L2	0	0	0
14606	RP11-811I15.1	0	0	0
14607	CTD-2231H16.1	0	0.3167	0.2921
14608	PLEKHG4B	0.0629	1.3432	1.2219
14609	Y_RNA	0	0	0
14610	LRRC14B	0	0.0258	0.0262
14611	CTD-2083E4.7	0.3133	0	0
14612	CCDC127	2.8813	1.992	1.817
14613	SDHA	47.5702	16.4293	30.0725
14614	CTD-2083E4.6	0	0.1944	0
14615	PDCD6	21.3161	23.0451	29.1124
14616	CTD-2083E4.5	0.661	0.1012	0.2396
14617	AHRR	2.3882	0.3543	0.3366
14618	CTD-2228K2.2	0	0	0
14619	CTD-2228K2.1	0	0	0
14620	C5orf55	1.7519	4.7288	3.2534
14621	EXOC3	18.287	19.7705	18.1455
14622	CTD-2228K2.5	4.1819	11.2649	3.7883
14623	CTD-2228K2.7	10.9201	32.0568	18.4235
14624	SLC9A3	2.9294	13.5978	3.4904
14625	RP11-310P5.2	0	0.2296	0
14626	MIR4456	0	0	0
14627	RP11-310P5.1	0.0997	0.3091	0
14628	CEP72	1.2519	1.2708	1.3637
14629	AC026740.1	0.5146	1.3096	0.3321
14630	CTD-2589H19.6	0.9309	1.822	0.4946
14631	TPPP	0.2041	0.0469	0.3804
14632	ZDHHC11B	1.8783	2.7957	2.4167
14633	CTD-2589H19.4	1.4399	0.4511	0.7322
14634	ZDHHC11	0.9536	1.3895	1.1461
14635	SPCS2P3	0	0.0309	0
14636	BRD9	10.3	13.2785	9.2237
14637	TRIP13	0.8141	0.5303	0.2495
14638	RP11-661C8.2	0	0	0
14639	RP11-661C8.3	0	0	0
14640	RP11-43F13.3	0.1015	0.07	0.0355
14641	AC116351.1	0	0	0
14642	AC116351.2	0	0	0
14643	RP11-43F13.4	0.0372	0.0768	0.078
14644	NKD2	1.2941	1.8746	0.0922
